chapter	id	size	necessary count	necessary percentage	unnecessary count	unnecessary percentage	sentence
mansfield_017	1	25	1	4	3	12	and not another word was said but fanny felt herself again in danger and her indifference to the danger was beginning to fail her already
mansfield_017	2	94	3	3	10	11	one advantage resulted from it to fanny at the earnest request of miss crawford mrs grant had with her usual good humour agreed to undertake the part for which fanny had been wanted and this was all that occurred to gladden  her  heart during the day and even this when imparted by edmund brought a pang with it for it was miss crawford to whom she was obliged it was miss crawford whose kind exertions were to excite her gratitude and whose merit in making them was spoken of with a glow of admiration
mansfield_017	3	9	1	11	0	0	julia made no communication and fanny took no liberties
