chapter	id	size	necessary count	necessary percentage	unnecessary count	unnecessary percentage	sentence
mansfield_029	1	78	3	4	1	1	after seeing william to the last moment fanny walked back to the breakfast room with a very saddened heart to grieve over the melancholy change and there her uncle kindly left her to cry in peace conceiving perhaps that the deserted chair of each young man might exercise her tender enthusiasm and that the remaining cold pork bones and mustard in william s plate might but divide her feelings with the broken egg shells in mr crawford s
mansfield_029	2	19	1	5	1	5	she sat and cried  con   amore  as her uncle intended but it was  con   amore  fraternal and no other
mansfield_029	3	24	1	4	2	8	william was gone and she now felt as if she had wasted half his visit in idle cares and selfish solicitudes unconnected with him
mansfield_029	4	52	2	4	3	6	the cards were brought and fanny played at cribbage with her aunt till bedtime and as sir thomas was reading to himself no sounds were heard in the room for the next two hours beyond the reckonings of the game and  that  makes thirty one four in hand and eight in crib
mansfield_029	5	54	2	4	7	13	lady bertram agreed to it all with a calm yes and at the end of a quarter of an hour s silent consideration spontaneously observed sir thomas i have been thinking and i am very glad we took fanny as we did for now the others are away we feel the good of it
mansfield_029	6	25	0	0	3	12	the first half hour was lost for fanny and lady bertram were together and unless she had fanny to herself she could hope for nothing
mansfield_029	7	21	0	0	1	5	no i do not said fanny softly hoping she did not err either in the belief or the acknowledgment of it
mansfield_029	8	32	3	9	2	6	her companion looked at her keenly and gathering greater spirit from the blush soon produced from such a look only said he is best off as he is and turned the subject
