chapter	id	size	necessary count	necessary percentage	unnecessary count	unnecessary percentage	sentence
mansfield_010	1	26	1	4	2	8	x a quarter of an hour twenty minutes passed away and fanny was still thinking of edmund miss crawford and herself without interruption from any one
mansfield_010	2	11	0	0	0	0	miss price all alone and my dear fanny how comes this
mansfield_010	3	4	1	25	0	0	she told her story
mansfield_010	4	47	2	4	6	13	this was a most unjust reflection but fanny could allow for it and let it pass julia was vexed and her temper was hasty but she felt that it would not last and therefore taking no notice only asked her if she had not seen mr rushworth
mansfield_010	5	9	0	0	2	22	this could not be denied and fanny was silenced
mansfield_010	6	22	1	5	1	5	well fanny this has been a fine day for you upon my word said mrs norris as they drove through the park
