chapter	id	size	necessary count	necessary percentage	unnecessary count	unnecessary percentage	sentence
mansfield_030	1	14	0	0	3	21	no you must be aware that i am quite determined to marry fanny price
mansfield_030	2	24	0	0	1	4	i can not admit mrs grant to have an equal claim with fanny and myself for we shall both have a right in you
mansfield_030	3	30	2	7	1	3	the impossibility of not doing everything in the world to make fanny price happy or of ceasing to love fanny price was of course the groundwork of his eloquent answer
mansfield_030	4	143	6	4	6	4	had you seen her this morning mary he continued attending with such ineffable sweetness and patience to all the demands of her aunt s stupidity working with her and for her her colour beautifully heightened as she leant over the work then returning to her seat to finish a note which she was previously engaged in writing for that stupid woman s service and all this with such unpretending gentleness so much as if it were a matter of course that she was not to have a moment at her own command her hair arranged as neatly as it always is and one little curl falling forward as she wrote which she now and then shook back and in the midst of all this still speaking at intervals to  me  or listening and as if she liked to listen to what i said
